Term,Definition
know your customer (KYC),"Or KYC, is a popular term used in the banking or financial field. KYC is a process where financial institutions, insurers and other companies obtain information about the identity and address of the customers as part of risk management."
KYC,See know your customer
light clients,Clients that can independently validate the existence of transactions by downloading only block headers and not the entire blockchain.
Magic Recovery Code,"<p>An long encrypted string, for example:</p> <p> <code>36mWivFdy0YPH2z31EflpQz/Y0UMrOrJ++lH=0EI7c3mop2JuRBm5WXxSTazJsUjOA...</code></p> <p>Do not share the QR code that accompanied your recovery code either. This is a QR code:</p> <img src=""/images/qr-code.png""/>"
mesh network,"A local network topology in which the infrastructure nodes (i.e. bridges, switches, and other infrastructure devices) connect directly, dynamically and non-hierarchically to as many other nodes as possible and cooperate with one another to efficiently route data from/to clients."
mining,Mining generally refers to the process of performing certain functions for a network such as adding new records to a blockchain in exchange for mining rewards; it may also refer to other mechanisms whereby rewards (usually in the form of cryptocurrency) are provided for performing other tasks helpful to the network.
mining power,"A miner’s (or group of miners’) mining power is equal to the probability it will be selected to write a new block to the blockchain. Depending on the mechanism for mining, this is usually related to the overall share of computing power or cryptoassets the miner or miners possess relative to all miners for that blockchain."
mining rewards,Mining rewards are newly issued tokens received by miners in exchange for adding new records to the blockchain or other activities beneficial to the network.
name,"An identifier or name. Names are a type of digital asset in the Blockstack network. If you have signed into the Blockstack Browser, you created a name. If an application developer registered an application within Blockstack, then they registered a name."
network operation,"A network operation is any change to the information about a digital asset (or smart contract) stored on a blockchain, including, for example, a change in the digital asset’s owner, or a change in the location at which it is stored on the network. How and when these network operations are performed for each digital asset is governed, on the Blockstack network, either by the Stacks Node software or a smart contract."
private key,"<p>Private keys matches a corresponding public key.  A public key also looks like a string of letters and numbers:</p> <img src=""/images/private.png""> <p>The exact format of the public and private key depend on the software you use to create them.</p>"
proof-of-burn mining,"The consensus algorithm used in the Stacks blockchain where miners destroy a proof-of-work-based cryptocurrency (currently Bitcoin) to get tokens; this enables the functionality where nodes can select between conflicting blockchain forks, as the blockchain fork with the most amount of cryptocurrency burned is considered to be the correct fork."
proof-of-work,"A proof-of-work system or proof-of-work mining is a mining mechanism where miners must expend computing power to solve complicated cryptographic puzzles, and prove that they have done so by writing the solution to the blockchain, in order to be allowed to add blocks to a blockchain. This is the mining system used, for example, by Bitcoin."
public key,<p>Public and private key pair comprise of two uniquely related cryptographic keys. It looks like a long random string of letters and numbers:</p> <p><code>3048 0241 00C9 18FA CF8D EB2D EFD5 FD37 89B9 E069 EA97 FC20 …</code></p> <p>The exact format of the public and private key depend on the software you use to create them.</p>
Public Key Infrastructure (PKI),A system which returns a cryptographic public key associated with a name.
replicated state machines (RSMs),"This is a model for reasoning about distributed computer programs -- any program (plus it's input) can be represented as a state machine, and when trying to get a distributed set of servers to agree on the output of an algorithm, you can model that process as N different state machines"
Secret Recovery Key,<p>Used to access an identity on the Blockstack blockchain. A 24-word sequence of words for example:</p> <p><code>applied binge crisp pictorial fiery</code> </p><p><code> dancing agreeable frogs light finish ping apple</code></p>
seed phrase,"<p>Used to access Stacks Wallet software. The seed phrase consists of 24 words in a sequence. Both the word <em>and its position the sequence</em>  are important.</p><p>Write down your seed phrase and store it in a secure location such as a safe deposit box. When you write the seed phrase down, include its position, for example,<code>1-frog, 2-horse, 3-building</code> and so on until you reach a final position <code>24-ocean</code>.</p>"
smart contract,"A smart contract is a computer program written to a blockchain such as the Blockstack blockchain by developers. This computer program defines the various network operations that can be performed on the digital assets on the blockchain, the computations that can be performed using the smart contract, along with defining various important properties of the respective digital assets like ownership rights and the cost in fuel required to register the digital assets."
soft fork,"A soft fork is a proposed update to the software governing the network that results in a post-update network that is compatible with the network as it existed prior to the update, because it restricts the network operations that can be performed after the update."
Stacks (STX) address,"<p> A STX address is a string of letters and numbers starting with an <code>SP</code> or <code>SM</code>, for example: <code>SM3KJBA4RZ7Z20KD2HBXNSXVPCR1D3CRAV6Q05MKT</code> </p><p> If you created a software-only wallet with the Stacks Wallet software, the wallet has a single STX address which is also sometimes called the <em>wallet address</em>. You access a software wallet with a <em>seed phrase</em>. </p>"
Stacks blockchain,The Stacks blockchain is the custom blockchain being developed for use by the Blockstack network that will use the Stacks token as its native currency and which will include the genesis block and subsequent blocks created by the mining activities described in The Blockstack Network—Development of the Blockstack network.
storage hub,"An Gaia instance run by a hub provider or software. A Gaia hub stores data in separate, addressed location."
storage provider,A third-party company cloud or software provider that hosts one or more Gaia storage hubs.
transaction,A transaction is a unit of work within a block.
transaction fee,Fees paid by participants in a transaction to miners.
two-sided market problem,Economic platforms having two distinct user groups that provide each other with network benefits. The Blockstack platform is a classic two-sided market.
username,A shorthand name for your your id.blockstack.
virtual blockchain,A layer that sits on top of a blockchain that introduces new functionality and operations without requiring changes to the underlying blockchain
wallet address,A wallet address is the form in which a public key can be presented and recorded on a blockchain. Wallet addresses are therefore used to assign the ownership of digital assets on the Blockstack network.
watch-only wallet,A wallet without send and receive ability. You can view only balances and transaction history.
Web of trust mining,"Web-of-trust mining provides incentive mechanisms for users where an initial trusted-set of unique users is curated in the genesis block and, in the future, the initial set of users can expand the web-of-trust after the network goes live."
Zone file,"A Domain Name System (DNS) zone file is a text file that describes a DNS zone. A DNS zone is a subset, often a single domain, of the hierarchical domain name structure of the DNS."
,
